player,season_start,svc,rf,knn,gbc,avg
Al-Farouq Aminu,2010,0.01327175654793164,0.0,0.0,0.0006514220851257615,0.0034807946582643503
Al-Farouq Aminu,2011,0.021422469982851,0.0,0.0,0.001302844170251523,0.005681328538275632
Al-Farouq Aminu,2012,0.02220820029430079,0.0,0.0,0.0019542662553772845,0.0060406166374195195
Al-Farouq Aminu,2013,0.023039638175682817,0.0,0.0,0.002605688340503046,0.006411331629046467
Al-Farouq Aminu,2014,0.031905519391314446,0.0,0.0,0.0032571104256288075,0.008790657454235816
Al-Farouq Aminu,2015,0.03207651176770926,0.0,0.0,0.003908532510754569,0.008996261069615959
Al-Farouq Aminu,2016,0.03331380250091828,0.0,0.0,0.004559954595880331,0.009468439274199655
Al-Farouq Aminu,2017,0.03368203317311115,0.0,0.0,0.005211376681006092,0.009723352463529311
Al-Farouq Aminu,2018,0.03381112003515712,0.0,0.0,0.0063229561226707896,0.010033519039456979
Lou Amundson,2009,0.013476479444346993,0.0,0.0,0.0006514220851257615,0.0035319753823681885
Lou Amundson,2010,0.02772704360068664,0.0,0.0,0.001302844170251523,0.00725747194273454
Lou Amundson,2011,0.043099076919947604,0.0,0.0,0.0019542662553772845,0.011263335793831222
Lou Amundson,2012,0.05798752237507743,0.0,0.0,0.002605688340503046,0.015148302678895118
Lou Amundson,2013,0.07271912469694658,0.0,0.0,0.0032571104256288075,0.018994058780643846
Lou Amundson,2014,0.08240577379103722,0.0,0.0,0.003908532510754569,0.021578576575447945
Lou Amundson,2015,0.09693260909733119,0.0,0.0,0.004559954595880331,0.025373140923302874
Chris Andersen,2009,0.003058873803954334,0.0,0.0,0.0010142063283658286,0.0010182700330800406
David Andersen,2009,0.012798114016074573,0.0,0.0,0.0006514220851257615,0.0033623840253000836
Chris Andersen,2010,0.01793114704831162,0.0,0.0,0.00166562841349159,0.004899193865450803
David Andersen,2010,0.027320425105525167,0.0,0.0,0.001302844170251523,0.0071558173189441715
Chris Andersen,2011,0.03273783223180682,0.0,0.0,0.0023170504986173516,0.008763720682606044
Chris Andersen,2012,0.04781167571722945,0.0,0.0,0.002968472583743113,0.012695037075243141
Chris Andersen,2013,0.05444541381744497,0.0,0.0,0.00408005202540781,0.014631366460713197
Chris Andersen,2014,0.0653280055887751,0.0,0.0,0.004731474110533571,0.01751486992482717
Chris Andersen,2015,0.08061356190358623,0.0,0.0,0.005382896195659332,0.02149911452481139
Chris Andersen,2016,0.09535592832312459,0.0,0.0,0.006034318280785093,0.02534756165097742
Antonio Anderson,2009,0.014458830633584564,0.0,0.0,0.0006514220851257615,0.0037775631796775812
Ryan Anderson,2009,0.014699579850421172,0.0,0.0,0.0006514220851257615,0.003837750483886733
